genes,,
Name,Symbol,Cross-references
transmembrane 4 L six family member 1,TM4SF1,"Comparative Toxicogenomics Database:4071, Ensembl:ENSG00000169908, GenAtlas:TM4SF1, GeneCard:TM4SF1, HGNC:HGNC:11853, HumanCyc Gene:HS10033, ModBase:P30408, NCBI Gene:4071, OMIM:191155, RefSeq DNA:NT_005612, RefSeq Protein:NP_055035, RefSeq RNA:NM_014220, UCSC Genome Browser:NM_014220, UniProtKB:P30408"
NBR1 autophagy cargo receptor,NBR1,"Comparative Toxicogenomics Database:4077, Ensembl:ENSG00000188554, GenAtlas:NBR1, GeneCard:NBR1, HGNC:HGNC:6746, NCBI Gene:4077, OMIM:166945, RefSeq DNA:NT_010783, RefSeq Protein:NP_005890, RefSeq Protein:NP_114064, RefSeq Protein:NP_114068, RefSeq RNA:NM_005899, RefSeq RNA:NM_031858, RefSeq RNA:NM_031862, UCSC Genome Browser:NM_005899, UniProtKB:Q14596"
MAX dimerization protein 1,MXD1,"Comparative Toxicogenomics Database:4084, Ensembl:ENSG00000059728, GenAtlas:MXD1, GeneCard:MXD1, HGNC:HGNC:6761, HumanCyc Gene:HS00733, ModBase:Q05195, NCBI Gene:4084, OMIM:600021, RefSeq DNA:NT_022184, RefSeq Protein:NP_001189442, RefSeq Protein:NP_001189443, RefSeq Protein:NP_002348, RefSeq RNA:NM_001202513, RefSeq RNA:NM_001202514, RefSeq RNA:NM_002357, UCSC Genome Browser:NM_002357, UniProtKB:Q05195"
SMAD family member 1,SMAD1,"Comparative Toxicogenomics Database:4086, Ensembl:ENSG00000170365, GenAtlas:SMAD1, GeneCard:SMAD1, HGNC:HGNC:6767, HumanCyc Gene:HS10112, ModBase:Q15797, NCBI Gene:4086, OMIM:601595, RefSeq DNA:NT_016354, RefSeq Protein:NP_001003688, RefSeq Protein:NP_005891, RefSeq RNA:NM_001003688, RefSeq RNA:NM_005900, UCSC Genome Browser:NM_005900, UniProtKB:Q15797"
SMAD family member 2,SMAD2,"Comparative Toxicogenomics Database:4087, Ensembl:ENSG00000175387, GenAtlas:SMAD2, GeneCard:SMAD2, HGNC:HGNC:6768, HumanCyc Gene:HS10922, ModBase:Q15796, NCBI Gene:4087, OMIM:601366, RefSeq DNA:NT_010966, RefSeq Protein:NP_001003652, RefSeq Protein:NP_001129409, RefSeq Protein:NP_005892, RefSeq RNA:NM_001003652, RefSeq RNA:NM_001135937, RefSeq RNA:NM_005901, UCSC Genome Browser:NM_005901, UniProtKB:Q15796, UniProtKB:Q53XR6"
SMAD family member 3,SMAD3,"Comparative Toxicogenomics Database:4088, Ensembl:ENSG00000166949, GenAtlas:SMAD3, GeneCard:SMAD3, HGNC:HGNC:6769, HumanCyc Gene:HS09489, ModBase:P84022, NCBI Gene:4088, OMIM:603109, RefSeq DNA:NG_011990, RefSeq DNA:NT_010194, RefSeq Protein:NP_001138574, RefSeq Protein:NP_001138575, RefSeq Protein:NP_001138576, RefSeq Protein:NP_005893, RefSeq RNA:NM_001145102, RefSeq RNA:NM_001145103, RefSeq RNA:NM_001145104, RefSeq RNA:NM_005902, UCSC Genome Browser:NM_005902, UniProtKB:B7Z4Z5, UniProtKB:B7Z9Q2, UniProtKB:P84022"
SMAD family member 4,SMAD4,"Comparative Toxicogenomics Database:4089, Ensembl:ENSG00000141646, GenAtlas:SMAD4, GeneCard:SMAD4, HGNC:HGNC:6770, HumanCyc Gene:HS06859, ModBase:Q13485, NCBI Gene:4089, OMIM:174900, OMIM:175050, OMIM:600993, RefSeq DNA:NG_013013, RefSeq DNA:NT_010966, RefSeq Protein:NP_005350, RefSeq RNA:NM_005359, UCSC Genome Browser:NM_005359, UniProtKB:Q13485"
SMAD family member 5,SMAD5,"Comparative Toxicogenomics Database:4090, Ensembl:ENSG00000113658, GenAtlas:SMAD5, GeneCard:SMAD5, HGNC:HGNC:6771, HumanCyc Gene:HS03708, ModBase:Q99717, NCBI Gene:4090, OMIM:603110, RefSeq DNA:NT_034772, RefSeq Protein:NP_001001419, RefSeq Protein:NP_001001420, RefSeq Protein:NP_005894, RefSeq RNA:NM_001001419, RefSeq RNA:NM_001001420, RefSeq RNA:NM_005903, UCSC Genome Browser:NM_005903, UniProtKB:Q68DB7, UniProtKB:Q99717"
SMAD family member 6,SMAD6,"Comparative Toxicogenomics Database:4091, Ensembl:ENSG00000137834, GenAtlas:SMAD6, GeneCard:SMAD6, HGNC:HGNC:6772, HumanCyc Gene:HS06407, ModBase:O43541, NCBI Gene:4091, OMIM:602931, RefSeq DNA:NG_012244, RefSeq DNA:NT_010194, RefSeq Protein:NP_001136333, RefSeq Protein:NP_005576, RefSeq RNA:NM_001142861, RefSeq RNA:NM_005585, RefSeq RNA:NR_027654, UCSC Genome Browser:NM_005585, UniProtKB:O43541"
SMAD family member 7,SMAD7,"Comparative Toxicogenomics Database:4092, Ensembl:ENSG00000101665, GenAtlas:SMAD7, GeneCard:SMAD7, HGNC:HGNC:6773, HumanCyc Gene:HS02297, ModBase:O15105, NCBI Gene:4092, OMIM:114500, OMIM:602932, OMIM:612229, RefSeq DNA:NG_023330, RefSeq DNA:NT_010966, RefSeq Protein:NP_001177750, RefSeq Protein:NP_001177751, RefSeq Protein:NP_001177752, RefSeq Protein:NP_005895, RefSeq RNA:NM_001190821, RefSeq RNA:NM_001190822, RefSeq RNA:NM_001190823, RefSeq RNA:NM_005904, UCSC Genome Browser:NM_005904, UniProtKB:O15105"
